KV_SIZE,THREADS,ITERATIONS,VARIATION,TIME,COMMITS,ABORTS,FALLBACKS
1000,1,500000,4,0.0,50000,6,0
1000,1,100000,4,0.0,100000,7,0
1000,1,200000,4,0.01,200000,52,0
1000,1,400000,4,0.02,400000,119,0
1000,2,500000,4,0.06,85818,378606,14182
1000,2,100000,4,0.12,154538,872355,45462
1000,2,200000,4,0.26,289382,1896269,110618
1000,2,400000,4,0.56,639191,3420138,160809
1000,14,500000,4,0.66,133325,9285881,566675
1000,14,100000,4,1.61,58068,20418529,1341932
1000,14,200000,4,2.36,961703,33307756,1838297
1000,14,400000,4,6.47,2121385,63937948,3478615
1000,28,500000,4,1.21,41563,20626701,1358437
1000,28,100000,4,2.54,206062,40041069,2593938
1000,28,200000,4,4.05,277022,81342274,5322978
1000,28,400000,4,7.02,88708,167120793,11111292
1000,56,500000,4,2.55,539788,37022412,2260212
1000,56,100000,4,5.07,1472363,69379210,4127637
1000,56,200000,4,11.03,2439157,145376564,8760843
1000,56,400000,4,22.24,5538610,284585846,16861390
1000,112,500000,4,5.6,1665374,68170489,3934626
1000,112,100000,4,11.22,3738954,131791099,7461046
1000,112,200000,4,22.59,6820994,270841159,15579006
1000,112,400000,4,42.18,13799863,540334102,31000137
