KV_SIZE,SWAPS,THREADS,ITERATIONS,VARIATION,TIME,COMMITS,ABORTS,FALLBACKS
1000,100,1,2000,2,2000,0,0,17
1000,250,1,2000,2,1999,0,1,31
1000,500,1,2000,2,1999,0,1,35
1000,100,2,2000,2,383,0,3617,18563
1000,250,2,2000,2,3891,0,109,1497
1000,500,2,2000,2,3961,0,39,290
1000,100,14,2000,2,17402,0,10598,69364
1000,250,14,2000,2,22257,0,5743,39064
1000,500,14,2000,2,25783,0,2217,22511
1000,100,28,2000,2,38896,0,17104,115800
1000,250,28,2000,2,49318,0,6682,63136
1000,500,28,2000,2,50481,0,5519,56646
1000,100,56,2000,2,60218,0,51782,320880
1000,250,56,2000,2,80189,0,31811,210064
1000,500,56,2000,2,86941,0,25059,157994
1000,100,112,2000,2,117605,0,106395,652016
1000,250,112,2000,2,155819,0,68181,442652
1000,500,112,2000,2,174415,0,49585,297858
