KV_SIZE,SWAPS,THREADS,ITERATIONS,VARIATION,TIME,COMMITS,ABORTS,FALLBACKS
1000,100,1,2000,2,2000,0,0,2
1000,250,1,2000,2,2000,0,0,10
1000,500,1,2000,2,1959,0,41,95
1000,100,2,2000,2,3758,0,242,629
1000,250,2,2000,2,3827,0,173,442
1000,500,2,2000,2,3573,0,427,1039
1000,100,14,2000,2,22971,0,5029,17395
1000,250,14,2000,2,23619,0,4381,16064
1000,500,14,2000,2,26318,0,1682,15099
1000,100,28,2000,2,37790,0,18210,49307
1000,250,28,2000,2,45116,0,10884,34354
1000,500,28,2000,2,43119,0,12881,37261
1000,100,56,2000,2,51905,0,60095,136342
1000,250,56,2000,2,68729,0,43271,100971
1000,500,56,2000,2,81832,0,30168,72509
1000,100,112,2000,2,83292,0,140708,307472
1000,250,112,2000,2,134399,0,89601,204157
1000,500,112,2000,2,166044,0,57956,141134
